Zadatak,Ulaz,Izlaz,Predviđen odgovor,Točan odgovor,Ispravno,Vrsta pitanja
1,"Zapuštena
U jednoj sobi ogromnoga grada
pokraj sirotnoga pokućstva i suđa
živi mlada žena
Svaki dan o podne i naveče
uđe jedno vučje lice
I dok žena stojeći po strani
Čeka
vučje lice jelo proguta
i ode
U noći
mlada žena ćuti pokraj peći
– pjev vatre šúmi u tišini sobe –
nad romanom Marcela Prévosta
Dugo lice blijedo i bez nade
oteščalo od čitanja padne
nad stranice romana
i usne
Na prozoru rastvoreni modri cvjetovi
čeznu sami u noć
u kojoj bliza krčma divlje šumori i pjeva
Antun Branko Šimić

U zadatcima višestrukoga izbora od više ponuđenih odgovora samo je jedan točan.
1. Koja od sljedećih tvrdnja o pjesmi nije točna?
A. Lirski subjekt u pjesmi mlada je žena.
B. Interpunkcija je u pjesmi reducirana.
C. Pjesma je pisana slobodnim stihom.
D. Pjesma je grafički organizirana.

Ogovori samo s A,B,C ili D",D. Pjesma je grafički organizirana.,D,A,FALSE,Književnost (uz polazni tekst)
2,"Zapuštena
U jednoj sobi ogromnoga grada
pokraj sirotnoga pokućstva i suđa
živi mlada žena
Svaki dan o podne i naveče
uđe jedno vučje lice
I dok žena stojeći po strani
Čeka
vučje lice jelo proguta
i ode
U noći
mlada žena ćuti pokraj peći
– pjev vatre šúmi u tišini sobe –
nad romanom Marcela Prévosta
Dugo lice blijedo i bez nade
oteščalo od čitanja padne
nad stranice romana
i usne
Na prozoru rastvoreni modri cvjetovi
čeznu sami u noć
u kojoj bliza krčma divlje šumori i pjeva
Antun Branko Šimić

U zadatcima višestrukoga izbora od više ponuđenih odgovora samo je jedan točan.
2. Što je tema pjesme?
A. umjetnost kao sredstvo ostvarivanja boljega života
B. nemogućnost ostvarivanja ispunjenoga života
C. uzaludno iščekivanje voljene osobe
D. strah od velikoga grada

Ogovori samo s A,B,C ili D","B. nemogućnost ostvarivanja ispunjenoga života


",B,B,TRUE,Književnost (uz polazni tekst)
3,"Zapuštena
U jednoj sobi ogromnoga grada
pokraj sirotnoga pokućstva i suđa
živi mlada žena
Svaki dan o podne i naveče
uđe jedno vučje lice
I dok žena stojeći po strani
Čeka
vučje lice jelo proguta
i ode
U noći
mlada žena ćuti pokraj peći
– pjev vatre šúmi u tišini sobe –
nad romanom Marcela Prévosta
Dugo lice blijedo i bez nade
oteščalo od čitanja padne
nad stranice romana
i usne
Na prozoru rastvoreni modri cvjetovi
čeznu sami u noć
u kojoj bliza krčma divlje šumori i pjeva
Antun Branko Šimić

U zadatcima višestrukoga izbora od više ponuđenih odgovora samo je jedan točan.
3. U čemu žena iz pjesme nalazi utjehu?
A. u čitanju
B. u kuhanju
C. u pjevanju
D. u snovima

Ogovori samo s A,B,C ili D",A. u čitanju,A,A,TRUE,Književnost (uz polazni tekst)
4,"Ivan Gundulić, Osman
Sunčanica mlada i lijepa,
od ke slovu svud kriposti,1
svijetlo ufanje ćaćka slijepa
i štapak je u starosti.
Mile unuke on viditi
želi od drage kćerce ove
i u njih opet ponoviti
sebe i mrtve svê sinove.
Ali je zaman2
 da itko sada
nje lipotu dvori mnogu,
zašto djevstvo ona mlada
zavjetova višnjem Bogu.
Mudri ćaćko s biljêg veće3
pozna ovu nje odluku
i, što obljubit kćerca neće
vjerovnika, ćuti muku.
No u sebi opet sudi
da od djetinjstva plaha ishodi
taj nje misô, s koje žudi
da dni tako sama vodi.
Tim neka u njoj od ljubavi
probudi se časna želja,
on razlike igre stavi
od radosti i veselja.
Od bugarskih mlados sela
na igre se kupi ove,
i ljuvena i vesela
sjediljkam4
 ih milim zove.
1 od ke slovu svud kriposti – glasovita je po svojoj kreposti
2 zaman – uzalud
3 s biljêg veće – po više znakova
4 sjediljka – okupljanje radi druženja
5 ovi – ovaj
6 ukazat – pokazati
7 zatjecat se još ne taže – još se ne prestaju natjecati
8 jeda – da
9 kigodi – kojigod
10 obere – izabere
Lijepe djevojke i gizdave,
i seljani mladi š njima
na nje idu, i vrh glave
svak od cvijetja vijenac ima.
U tanac se svi hitaju,
svi začinju slatke pjesni
i razlike igre igraju
u pokoju i u ljuvezni.
Vrh livade mlad uz mlada
sjedi u cvijetju razlikomu,
i riječ s riječim hitro sklada
na uho šaptom ovi5
 onomu.
Natječu se svi pastiri,
i ukazat6
 svaki uživa
Da skladnije dipli sviri
I da u slađi glas popiva.
Zatjecat se još ne taže7
pastirice najmilije,
ka začinja pjesni draže,
ka li vjenčac ljepše vije.
Sjediljke ove skupio bȋše
starac Ljubdrag na svom stanu,
jeda8
 srce tvrdo odviše
od svê kćerce one ganu:
ter od mladih, kih ustrili
slavna lipost nje velika,
kigodi9
 joj tuj omili
i obere10 ga

U zadatcima višestrukoga izbora od više ponuđenih odgovora samo je jedan točan.
4. Zašto je Ljubdrag organizirao okupljanje mladih?
A. Nadao se da će se neki mladić svidjeti njegovoj kćeri.
B. Želio je zahvaliti kćeri zato što mu je oslonac u starosti.
C. Htio je da se pastiri natječu u sviranju.
D. Zaželio se veseloga društva u kući.

Ogovori samo s A,B,C ili D",A. Nadao se da će se neki mladić svidjeti njegovoj kćeri.,A,A,TRUE,Književnost (uz polazni tekst)
5,"Ivan Gundulić, Osman
Sunčanica mlada i lijepa,
od ke slovu svud kriposti,1
svijetlo ufanje ćaćka slijepa
i štapak je u starosti.
Mile unuke on viditi
želi od drage kćerce ove
i u njih opet ponoviti
sebe i mrtve svê sinove.
Ali je zaman2
 da itko sada
nje lipotu dvori mnogu,
zašto djevstvo ona mlada
zavjetova višnjem Bogu.
Mudri ćaćko s biljêg veće3
pozna ovu nje odluku
i, što obljubit kćerca neće
vjerovnika, ćuti muku.
No u sebi opet sudi
da od djetinjstva plaha ishodi
taj nje misô, s koje žudi
da dni tako sama vodi.
Tim neka u njoj od ljubavi
probudi se časna želja,
on razlike igre stavi
od radosti i veselja.
Od bugarskih mlados sela
na igre se kupi ove,
i ljuvena i vesela
sjediljkam4
 ih milim zove.
1 od ke slovu svud kriposti – glasovita je po svojoj kreposti
2 zaman – uzalud
3 s biljêg veće – po više znakova
4 sjediljka – okupljanje radi druženja
5 ovi – ovaj
6 ukazat – pokazati
7 zatjecat se još ne taže – još se ne prestaju natjecati
8 jeda – da
9 kigodi – kojigod
10 obere – izabere
Lijepe djevojke i gizdave,
i seljani mladi š njima
na nje idu, i vrh glave
svak od cvijetja vijenac ima.
U tanac se svi hitaju,
svi začinju slatke pjesni
i razlike igre igraju
u pokoju i u ljuvezni.
Vrh livade mlad uz mlada
sjedi u cvijetju razlikomu,
i riječ s riječim hitro sklada
na uho šaptom ovi5
 onomu.
Natječu se svi pastiri,
i ukazat6
 svaki uživa
Da skladnije dipli sviri
I da u slađi glas popiva.
Zatjecat se još ne taže7
pastirice najmilije,
ka začinja pjesni draže,
ka li vjenčac ljepše vije.
Sjediljke ove skupio bȋše
starac Ljubdrag na svom stanu,
jeda8
 srce tvrdo odviše
od svê kćerce one ganu:
ter od mladih, kih ustrili
slavna lipost nje velika,
kigodi9
 joj tuj omili
i obere10 ga

U zadatcima višestrukoga izbora od više ponuđenih odgovora samo je jedan točan.
5. Što je o Ljubdragu iskazano u sljedećim stihovima?
Mile unuke on viditi
želi od drage kćerce ove
i u njih opet ponoviti
sebe i mrtve svê sinove.
A. Važno mu je da se njegova loza nastavi.
B. Želi osvetiti svoje mrtve sinove.
C. Htio bi da ga unuci posjete.
D. Sluti da će uskoro umrijeti.

Ogovori samo s A,B,C ili D",A. Važno mu je da se njegova loza nastavi.,A,A,TRUE,Književnost (uz polazni tekst)
6,"Ivan Gundulić, Osman
Sunčanica mlada i lijepa,
od ke slovu svud kriposti,1
svijetlo ufanje ćaćka slijepa
i štapak je u starosti.
Mile unuke on viditi
želi od drage kćerce ove
i u njih opet ponoviti
sebe i mrtve svê sinove.
Ali je zaman2
 da itko sada
nje lipotu dvori mnogu,
zašto djevstvo ona mlada
zavjetova višnjem Bogu.
Mudri ćaćko s biljêg veće3
pozna ovu nje odluku
i, što obljubit kćerca neće
vjerovnika, ćuti muku.
No u sebi opet sudi
da od djetinjstva plaha ishodi
taj nje misô, s koje žudi
da dni tako sama vodi.
Tim neka u njoj od ljubavi
probudi se časna želja,
on razlike igre stavi
od radosti i veselja.
Od bugarskih mlados sela
na igre se kupi ove,
i ljuvena i vesela
sjediljkam4
 ih milim zove.
1 od ke slovu svud kriposti – glasovita je po svojoj kreposti
2 zaman – uzalud
3 s biljêg veće – po više znakova
4 sjediljka – okupljanje radi druženja
5 ovi – ovaj
6 ukazat – pokazati
7 zatjecat se još ne taže – još se ne prestaju natjecati
8 jeda – da
9 kigodi – kojigod
10 obere – izabere
Lijepe djevojke i gizdave,
i seljani mladi š njima
na nje idu, i vrh glave
svak od cvijetja vijenac ima.
U tanac se svi hitaju,
svi začinju slatke pjesni
i razlike igre igraju
u pokoju i u ljuvezni.
Vrh livade mlad uz mlada
sjedi u cvijetju razlikomu,
i riječ s riječim hitro sklada
na uho šaptom ovi5
 onomu.
Natječu se svi pastiri,
i ukazat6
 svaki uživa
Da skladnije dipli sviri
I da u slađi glas popiva.
Zatjecat se još ne taže7
pastirice najmilije,
ka začinja pjesni draže,
ka li vjenčac ljepše vije.
Sjediljke ove skupio bȋše
starac Ljubdrag na svom stanu,
jeda8
 srce tvrdo odviše
od svê kćerce one ganu:
ter od mladih, kih ustrili
slavna lipost nje velika,
kigodi9
 joj tuj omili
i obere10 ga

U zadatcima višestrukoga izbora od više ponuđenih odgovora samo je jedan točan.
6. U čemu se od sljedećega natječu djevojke?
A. u pletenju vjenčića
B. u pričanju priča
C. u plesanju
D. u ljepoti

Ogovori samo s A,B,C ili D",A. u pletenju vjenčića,A,A,TRUE,Književnost (uz polazni tekst)
7,"Josip Kozarac, Tena
To divno tijelo bit će sada Jozino i Đorđevo: Jozino, koga nije mogla pred dvije godine ni gledati,
koji joj je bio nemio kao zelena voćka! Je li joj žao? Čemu da joj bude žao kada poslije vodnika
ionako nije nikoga više ljubila, ali u dubini duše mora si ona priznati da joj se vatreni Đorđe većma
dopada negoli gospodski Leon. Razlika stališa, naobrazbe, način života među njom i Leonom, sve
to više ju je odbijalo negoli privlačilo k Leonu.
Da je sad Leon vidi u Jozinu i Đorđevu zagrljaju, što bi on rekao, bi li mu možda bilo žao? Ne bi,
njega bi to samo neugodno dirnulo, baš kao kada bi vidio Canovin kip u zadimljenoj seljačkoj kuhinji.
On ne bi žalio za njom, nego za onim što je na njoj lijepo – a za čim da ona žali, ona koja bolje
razumije Đorđevu neobuzdanu vatru, Jozine prostačke riječi negoli Leonovo obožavanje „lijepoga”
na njenom tijelu? To čuvstvo „lijepoga” naleti katkad i njojzi u dušu, ali njezina duša već je bila
podivljali busen cvijeta iz kojega je više trnova negoli cvjetića isklijalo.

U zadatcima višestrukoga izbora od više ponuđenih odgovora samo je jedan točan.
7. Koji izraz metaforično prikazuje Tenu?
A. zelena voćka
B. neobuzdana vatra
C. čuvstvo „lijepoga”
D. busen cvijeta

Ogovori samo s A,B,C ili D",D. busen cvijeta,D,D,TRUE,Književnost (uz polazni tekst)
8,"Josip Kozarac, Tena
To divno tijelo bit će sada Jozino i Đorđevo: Jozino, koga nije mogla pred dvije godine ni gledati,
koji joj je bio nemio kao zelena voćka! Je li joj žao? Čemu da joj bude žao kada poslije vodnika
ionako nije nikoga više ljubila, ali u dubini duše mora si ona priznati da joj se vatreni Đorđe većma
dopada negoli gospodski Leon. Razlika stališa, naobrazbe, način života među njom i Leonom, sve
to više ju je odbijalo negoli privlačilo k Leonu.
Da je sad Leon vidi u Jozinu i Đorđevu zagrljaju, što bi on rekao, bi li mu možda bilo žao? Ne bi,
njega bi to samo neugodno dirnulo, baš kao kada bi vidio Canovin kip u zadimljenoj seljačkoj kuhinji.
On ne bi žalio za njom, nego za onim što je na njoj lijepo – a za čim da ona žali, ona koja bolje
razumije Đorđevu neobuzdanu vatru, Jozine prostačke riječi negoli Leonovo obožavanje „lijepoga”
na njenom tijelu? To čuvstvo „lijepoga” naleti katkad i njojzi u dušu, ali njezina duša već je bila
podivljali busen cvijeta iz kojega je više trnova negoli cvjetića isklijalo.

U zadatcima višestrukoga izbora od više ponuđenih odgovora samo je jedan točan.
8. Koga je Tena jedino voljela?
A. Đorđa
B. Jozu
C. Leona
D. vodnika

Ogovori samo s A,B,C ili D",D. vodnika,D,D,TRUE,Književnost (uz polazni tekst)
9,"Josip Kozarac, Tena
To divno tijelo bit će sada Jozino i Đorđevo: Jozino, koga nije mogla pred dvije godine ni gledati,
koji joj je bio nemio kao zelena voćka! Je li joj žao? Čemu da joj bude žao kada poslije vodnika
ionako nije nikoga više ljubila, ali u dubini duše mora si ona priznati da joj se vatreni Đorđe većma
dopada negoli gospodski Leon. Razlika stališa, naobrazbe, način života među njom i Leonom, sve
to više ju je odbijalo negoli privlačilo k Leonu.
Da je sad Leon vidi u Jozinu i Đorđevu zagrljaju, što bi on rekao, bi li mu možda bilo žao? Ne bi,
njega bi to samo neugodno dirnulo, baš kao kada bi vidio Canovin kip u zadimljenoj seljačkoj kuhinji.
On ne bi žalio za njom, nego za onim što je na njoj lijepo – a za čim da ona žali, ona koja bolje
razumije Đorđevu neobuzdanu vatru, Jozine prostačke riječi negoli Leonovo obožavanje „lijepoga”
na njenom tijelu? To čuvstvo „lijepoga” naleti katkad i njojzi u dušu, ali njezina duša već je bila
podivljali busen cvijeta iz kojega je više trnova negoli cvjetića isklijalo.

U zadatcima višestrukoga izbora od više ponuđenih odgovora samo je jedan točan.
9. Na što se odnosi sljedeća usporedba?
kao kada bi vidio Canovin kip u zadimljenoj seljačkoj kuhinji
A. na Tenin smisao za kiparsku umjetnost
B. na nesklad između ljepote i okoline
C. na prijetvorno ponašanje
D. na Leonovo bogatstvo

Ogovori samo s A,B,C ili D",B. na nesklad između ljepote i okoline,B,B,TRUE,Književnost (uz polazni tekst)
10,"Ranko Marinković, Kiklop
Kad su stigli veterinarski stručnjaci iz urođeničkoga sela, agent je mirno pasao kao i sva ostala
grla. Ipak mu silom uguraše u ždrijelo slinave gvalje od nekakvih trava koje su najprije sažvakali u
svojim ustima i zatim mijesili među prstima pljujući u njih obilno. Agent se doduše davio od toga,
ali je ipak nastojao svim silama da posluša svoje dobronamjerne mučitelje: gutao je zelene kuglice
mučno kao kokoš. Oni su ga liječili. A on se odmah i ponadao: eto, liječe, znači... i smiješio im se s
prijaznom zahvalnošću.
– Što su to trpali u njega? – upita kapetan liječnika tonom šefa obitelji.
– Mislim, biljne purgative. Gospodina će to temeljito pročistiti. Ali čini se da to nije cijeli postupak.
Oni će mu još i zle duhove istjerati iz trbuha.
I doista, povalili su pacijenta na leđa i dok su ga četvorica držala za ruke i noge Veliki Vrač mu
je utaknuo bambusovu cjevčicu u duboko usaljeni pupak, zatim uzeo ugarak iz ruku svog asistenta
i živom žeravom stao šarati krugove oko bambusa po nabreklom agentovom trbuhu izgovarajući
obredne riječi na koje su njegovi pomoćnici odgovarali skandirajući neke druge riječi, vjerojatno u
ime demona koji, očito, nisu bez otpora napuštali utrobu našeg prijatelja. Agent je, razumije se, urlao
od boli, a to je Veliki Vrač primao sa zadovoljstvom, kao znak uspješnog rađanja na pupak.
Upravitelj stroja, koji je, čini se, bio najhumaniji i svakako najjači među bijelcima, učini pokret
kojim bi vjerojatno bio zadavio Velikoga Vrača da ga liječnik nije u pravi čas zaustavio.
– Zar ste poludjeli, gospodine!
– Pa dokle oni kane tako mučiti ovog čovjeka?
– Dok mu ne istjeraju i posljednjeg demona iz trbuha kroz onaj dimnjak na pupku.
Demoni bi navodno trebali pobjeći pred vatrom...
– Pa kada će to biti? – upita kapetan naivno, s laičkom radoznalošću.
– To pitajte njih – odgovori liječnik neprijazno.

U zadatcima višestrukoga izbora od više ponuđenih odgovora samo je jedan točan.
10. Što je prikazano u polaznome tekstu?
A. čišćenje dimnjaka
B. istjerivanje zlih sila
C. liječenje životinja
D. ubojstvo zarobljenika

Ogovori samo s A,B,C ili D",B. istjerivanje zlih sila,B,B,TRUE,Književnost (uz polazni tekst)
